Dataset, status, cost, time
Datasets/FIVE.txt,FIN,19.0,0.027994155883789062
Datasets/P01.txt,FIN,291.0,0.04520416259765625
Datasets/GR17.txt,FIN,2085.0,18.47811484336853
Datasets/FRI26.txt,FIN,937.0,2.848240375518799
Datasets/DANTZIG42.txt,FIN,699.0,42.46521592140198
Datasets/ATT48.txt,TIMEOUT,NA,600000
Datasets/berlin52.txt,FIN,7542.0,7.377360582351685
Datasets/st70.txt,TIMEOUT,NA,600000
Datasets/pr76.txt,TIMEOUT,NA,600000
Datasets/eil101.txt,FIN,629.0,120.51299381256104
Datasets/bier127.txt,TIMEOUT,NA,600000
