Dataset, status, init_bound, generated, expanded, cost, time
Datasets/FIVE.txt,FIN,21,25,12,19,0
Datasets/P01.txt,FIN,527,5018,888,291,186
Datasets/GR17.txt,FIN,2085,2505081,289917,2085,124654
Datasets/FRI26.txt,FIN,1050,2086874,131468,937,348624
Datasets/DANTZIG42.txt,TIMEOUT,724,1339584,48257,699,600000
Datasets/ATT48.txt,TIMEOUT,34435,712399,19097,34435,600000
Datasets/berlin52.txt,TIMEOUT,21053,9899771,1336896,18940,600000
Datasets/st70.txt,TIMEOUT,2802,3836221,276493,2598,600000
Datasets/pr76.txt,TIMEOUT,422254,4263586,372305,143859,600000
Datasets/eil101.txt,TIMEOUT,2536,4916570,531957,1926,600000
Datasets/bier127.txt,TIMEOUT,433235,3842431,375357,311844,600000
