Dataset, status, init_bound, generated, expanded, cost, time
Datasets/FIVE.txt,FIN,23,26,15,19,0
Datasets/P01.txt,FIN,732,5988,1189,291,223
Datasets/GR17.txt,FIN,4984,3577528,435158,2085,181854
Datasets/FRI26.txt,FIN,2564,2086889,131479,937,370958
Datasets/DANTZIG42.txt,TIMEOUT,3184,1301683,46867,699,600000
Datasets/ATT48.txt,TIMEOUT,140019,7566248,791422,102016,600000
Datasets/berlin52.txt,TIMEOUT,28772,9765242,1318388,18940,600000
Datasets/st70.txt,TIMEOUT,3462,3854551,281282,2598,600000
Datasets/pr76.txt,TIMEOUT,497411,4267066,372545,143859,600000
Datasets/eil101.txt,TIMEOUT,3313,4934266,533869,1926,600000
Datasets/bier127.txt,TIMEOUT,603058,3801377,372691,311844,600000
